,booth,total_ridership_Monday,total_ridership_Tuesday,total_ridership_Wednesday,total_ridership_Thursday,total_ridership_Friday,total_ridership_Saturday,total_ridership_Sunday
707,UTICA AV_N120,4044.74358974359,4024.128205128205,3972.1794871794873,3938.4102564102564,3970.358974358974,7289.128205128205,8819.384615384615
708,UTICA AV_N120A,6552.410256410257,6817.2307692307695,6914.74358974359,6995.923076923077,6997.538461538462,6396.48717948718,5548.282051282052
709,V.CORTLANDT PK_R197,6528.025641025641,6544.384615384615,6736.820512820513,6906.282051282052,7447.2307692307695,5631.153846153846,4215.153846153846
710,VAN SICLEN AVE_N126,4425.74358974359,4612.641025641025,4604.128205128205,4724.615384615385,4703.051282051282,3981.74358974359,3170.2051282051284
711,VAN SICLEN AV_J021,4734.51282051282,4731.794871794872,4989.5641025641025,4918.153846153846,5132.0,3103.871794871795,2521.230769230769
712,VAN SICLEN AV_R633,4740.717948717948,4911.0,4832.307692307692,5034.102564102564,4661.2307692307695,2765.358974358974,2145.051282051282
713,VERNON-JACKSON_R503,4788.102564102564,4668.794871794872,4624.307692307692,4443.0,4222.794871794872,3303.3846153846152,3609.5128205128203
714,VERNON-JACKSON_R504,6170.820512820513,6451.74358974359,6477.0,6676.205128205128,6444.948717948718,5383.0,4296.358974358975
715,VERNON-JACKSON_R506,1469.128205128205,1567.5128205128206,1591.128205128205,1636.5641025641025,1654.2820512820513,1375.179487179487,1067.1025641025642
716,W 4 ST-WASH SQ_N080,10252.897435897436,10544.461538461539,10836.615384615385,10806.51282051282,10428.74358974359,9873.564102564103,10872.307692307691
717,W 4 ST-WASH SQ_N083,12262.923076923076,11071.384615384615,11580.692307692309,11344.02564102564,12090.74358974359,13169.871794871795,13195.48717948718
718,W 8 ST-AQUARIUM_G011,2741.4615384615386,2734.641025641026,2741.974358974359,2816.4102564102564,2840.4871794871797,2114.025641025641,1711.4358974358975
719,W 8 ST-AQUARIUM_G015,1024.871794871795,1037.1538461538462,1051.6923076923076,1070.3846153846155,991.6923076923077,451.53846153846155,349.1794871794872
720,WAKEFIELD/241_R336,7718.717948717948,7813.897435897436,7943.153846153846,8225.74358974359,8024.282051282052,6709.076923076923,5442.589743589743
721,WALL ST_R110,8099.358974358975,8829.333333333334,9018.307692307691,9190.76923076923,9659.128205128205,4759.846153846154,3444.4102564102564
722,WALL ST_R111,6625.076923076923,7291.384615384615,7544.384615384615,7686.538461538462,8220.615384615385,5545.384615384615,4758.025641025641
723,WALL ST_R112,2995.897435897436,3388.74358974359,3556.948717948718,3504.230769230769,3938.128205128205,196.2051282051282,0.6410256410256411
724,WALL ST_R112A,2244.9473684210525,2688.2702702702704,2741.5945945945946,2840.3513513513512,2938.324324324324,321.39473684210526,0.6842105263157895
725,WALL ST_R203,13583.871794871795,13966.307692307691,14325.48717948718,14347.25641025641,13916.307692307691,5669.205128205128,3884.153846153846
726,WALL ST_R203A,1608.4615384615386,1638.4871794871794,1724.3846153846155,1692.6666666666667,1495.4102564102564,1.7435897435897436,1.3846153846153846
727,WALL ST_R204,9036.076923076924,8950.589743589744,8961.846153846154,9388.923076923076,8892.692307692309,3280.5128205128203,2338.2820512820513
728,WALL ST_R204A,1526.2820512820513,1474.6410256410256,1453.8461538461538,1440.6410256410256,1472.2820512820513,3.1794871794871793,1.9230769230769231
729,WEST FARMS SQ_R323,11106.846153846154,11386.666666666666,12006.205128205129,11689.076923076924,11558.897435897436,7257.128205128205,5754.974358974359
730,WESTCHESTER SQ_R420,5181.076923076923,5525.025641025641,5731.128205128205,5950.25641025641,6420.48717948718,6218.615384615385,4452.461538461538
731,WHITEHALL S-FRY_A058,6112.871794871795,6014.0,6257.5641025641025,6463.4358974358975,7297.282051282052,4393.538461538462,3496.4871794871797
732,WHITEHALL S-FRY_A060,11646.076923076924,10962.692307692309,11174.794871794871,11328.564102564103,12548.102564102564,12341.794871794871,10470.71794871795
733,WHITLOCK AV_R413,3764.6153846153848,3920.128205128205,3933.3333333333335,3990.2051282051284,3909.923076923077,2341.3333333333335,1833.025641025641
734,WILSON AV_H032,5110.333333333333,5083.179487179487,5245.128205128205,5064.5,5879.368421052632,5083.076923076923,4697.358974358975
